LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Onstein	Renske	319	Plant Traits from Fynbos Forests in the Cape Region	Albuca sp	2286	Albuca sp	2472570	20165096			59	Latitude	Lat	-34.542						-34.542					Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331–340 DOI:10.1016/j.ppees.2014.08.002			
Onstein	Renske	319	Plant Traits from Fynbos Forests in the Cape Region	Albuca sp	2286	Albuca sp	2472570	20165097			60	Longitude	Lon	19.412						19.412					Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331–340 DOI:10.1016/j.ppees.2014.08.002			
Onstein	Renske	319	Plant Traits from Fynbos Forests in the Cape Region	Albuca sp	2286	Albuca sp	2472570	20165098			114	Location / Site Name	Location	Grootbos											Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331–340 DOI:10.1016/j.ppees.2014.08.002			
Onstein	Renske	319	Plant Traits from Fynbos Forests in the Cape Region	Albuca sp	2286	Albuca sp	2472570	20165099			1863	Habitat / site description	Site	Fynbos											Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331–340 DOI:10.1016/j.ppees.2014.08.002			
Onstein	Renske	319	Plant Traits from Fynbos Forests in the Cape Region	Albuca sp	2286	Albuca sp	2472570	20165100			846	Family	Family	Asparagaceae											Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331–340 DOI:10.1016/j.ppees.2014.08.002			
Onstein	Renske	319	Plant Traits from Fynbos Forests in the Cape Region	Albuca sp	2286	Albuca sp	2472570	20165127	2935	Flower symmetry type (flower shape)	3987	Flower shape: zygomorphic	Zygomorphic	no											Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331–340 DOI:10.1016/j.ppees.2014.08.002			
Onstein	Renske	319	Plant Traits from Fynbos Forests in the Cape Region	Albuca sp	2286	Albuca sp	2472570	20165128	2935	Flower symmetry type (flower shape)	3988	Flower shape: actinomorphic	Actinomorphic	yes											Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331–340 DOI:10.1016/j.ppees.2014.08.002			
Onstein	Renske	319	Plant Traits from Fynbos Forests in the Cape Region	Anthericaceae? Sp	405893	Anthericaceae sp	2472590	20165287			59	Latitude	Lat	-33.969						-33.969					Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331–340 DOI:10.1016/j.ppees.2014.08.002			
Onstein	Renske	319	Plant Traits from Fynbos Forests in the Cape Region	Anthericaceae? Sp	405893	Anthericaceae sp	2472590	20165288			60	Longitude	Lon	20.802						20.802					Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331–340 DOI:10.1016/j.ppees.2014.08.002			
Onstein	Renske	319	Plant Traits from Fynbos Forests in the Cape Region	Anthericaceae? Sp	405893	Anthericaceae sp	2472590	20165289			114	Location / Site Name	Location	GVB											Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331–340 DOI:10.1016/j.ppees.2014.08.002			
