Species,Family,Site,Exotic,Pseudanthium,Habitat,Floral.longevity (days),SE,Quality,Floral.longevity.un/visited (days),SE,Duration,Flower.length_mm,SE,Flower.diam_mm,SE,Lat_deg,Lat_min,Lat_sec,Lat,Lon_deg,Lon_min,Lon_sec,Lon,Altitude (m),Source,Location,SI,Nectar,
Befaria.glauca(=Bejaria.aestuans),Ericaceae,PN Canaima (Venezuela),,,Tropical scrubland,1 to 2,,0,,,,20.3,,12.5,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,1,Feb-Jul.
Bonnetia.sessilis,Bonnetiaceae,PN Canaima (Venezuela),,,Tropical scrubland,1 to 2,,0,,,,15.6,,60.0,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,0,Feb-Mar; Sep-Oct.
Borreria.capitata(=Spermacoce.capitata),Rubiaceae,PN Canaima (Venezuela),,,Tropical scrubland,1 (12 h),,0,,,,2.6,,4.5,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,1,Feb-Mar; Sep-Oct.
Brocchinia.acuminata,Bromeliaceae,PN Canaima (Venezuela),,,Tropical scrubland,1 (12 h),,0,,,,4.4,,5.0,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,1,Jun-Jul.
Calea.lucidivenia,Asteraceae,PN Canaima (Venezuela),,1,Tropical scrubland,1 (12 h),,0,,,,,,22.6 (infl.),,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,1,Feb-Oct.
Catasetum.discolor,Orchidaceae,PN Canaima (Venezuela),,,Tropical scrubland,2 to 3,,0,,,,20.0,,24.1,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,1,Jun-Oct.
Clusia.grandiflora,Clusiaceae,PN Canaima (Venezuela),,,Tropical scrubland,1 to 2,,0,,,,8.3,,62.5,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,Resin,Jun-Oct.
Clusia.pusilla.ssp.pusilla,Clusiaceae,PN Canaima (Venezuela),,,Tropical scrubland,1 to 2,,0,,,,8.0,,59.7,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,Resin,Feb-Oct.
Cybianthus.quelchii,Primulaceae,PN Canaima (Venezuela),,,Tropical scrubland,1 (12 h),,0,,,,1.8,,4.8,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,1,Jun-Jul.
Cyrilla.racemiflora,Cyrillaceae,PN Canaima (Venezuela),,,Tropical scrubland,1 (12 h),,0,,,,4.0,,3.0,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,1,Feb-Oct.
Declieuxia.fruticosa.var.fruticosa,Rubiaceae,PN Canaima (Venezuela),,,Tropical scrubland,1 (12 h),,0,,,,2.6,,4.5,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,1,Feb-Oct.
Digomphia.laurifolia,Bignoniaceae,PN Canaima (Venezuela),,,Tropical scrubland,2.0,,0,,,,60.0,,44.1,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,1,Sep-Oct.
Echinolaena.inflexa,Poaceae,PN Canaima (Venezuela),,,Tropical scrubland,2 to 3,,0,,,,1.0,,0.5,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,0,Feb-Jul.
Epidendrum.ibaguense.ssp.ibaguense,Orchidaceae,PN Canaima (Venezuela),,,Tropical scrubland,1 (12 h),,0,,,,9.2,,8.1,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,1,Sep-Oct.
Epistephium.duckei,Orchidaceae,PN Canaima (Venezuela),,,Tropical scrubland,1 (12 h),,0,,,,35.5,,24.1,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,1,Feb-Oct.
Eriopsis.biloba,Orchidaceae,PN Canaima (Venezuela),,,Tropical scrubland,2 to 3,,0,,,,11.3,,24.8,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,1,Sep-Oct.
Galactophora.schomburgkiana,Apocynaceae,PN Canaima (Venezuela),,,Tropical scrubland,2.0,,0,,,,66.0,,66.2,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,1,Feb-Oct.
Gongylolepis.benthamiana.var.pubescens,Asteraceae,PN Canaima (Venezuela),,,Tropical scrubland,1 to 2,,0,,,,19.4,,5.8,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,1,Feb-Jul.
Heliamphora.heterodoxa,Sarraceniaceae,PN Canaima (Venezuela),,,Tropical scrubland,2.0,,0,,,,31.2,,36.0,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,0,Feb-Oct.
Humiria.balsamifera,Humiriaceae,PN Canaima (Venezuela),,,Tropical scrubland,1 (12 h),,0,,,,1.5,,10.6,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,1,Jun-Oct.
Ilex.retusa,Aquifoliaceae,PN Canaima (Venezuela),,,Tropical scrubland,1 (12 h),,0,,,,1.3,,2.5,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,1,Jun-Oct.
Irlbachia.nemorosa,Gentianaceae,PN Canaima (Venezuela),,,Tropical scrubland,1 (12 h),,0,,,,8.5,,16.4,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,1,Feb-Oct.
Lagenocarpus.rigidus,Cyperaceae,PN Canaima (Venezuela),,,Tropical scrubland,3 to 5,,0,,,,2.9,,0.6,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,0,Jun-Oct.
Macairea.pachyphylla,Melastomataceae,PN Canaima (Venezuela),,,Tropical scrubland,1 to 2,,0,,,,3.4,,12.1,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,0,Sep-Oct.
Macairea.parviflora,Melastomataceae,PN Canaima (Venezuela),,,Tropical scrubland,1 (12 h),,0,,,,3.4,,20.2,,5,35,,5.583,-61,-43,,-61.717,1350,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,"Table 1, p. 390",,0,Feb-Mar.
