web,plant,symmetry,n.poll,n.shared,n.shared.a,n.shared.z,mn.n.shared,mn.n.shared.a,mn.n.shared.z,md.n.shared,md.n.shared.a,md.n.shared.z
M_PL_001,Phacelia secunda,actinomorphic,25,21,15,11,1.83132530120482,1.5625,2.73684210526316,1,1,1
M_PL_001,Senecio bustillosianus,actinomorphic,22,21,21,5,2.12048192771084,2.25,1.68421052631579,2,2,1
M_PL_001,Stachys albi,zygomorphic,14,14,7,10,1.27710843373494,1.15384615384615,1.72222222222222,1,1,1
M_PL_001,Adesmia conferta,zygomorphic,13,12,5,10,0.975903614457831,0.830769230769231,1.5,1,1,0.5
M_PL_001,Calandrinia affinis,actinomorphic,13,9,8,2,1.16867469879518,1.28125,0.789473684210526,1,1,1
M_PL_001,Senecio erucaeformis,actinomorphic,13,10,10,2,1.08433734939759,1.21875,0.631578947368421,1,1,0
M_PL_001,Astragalus curvicaulis,zygomorphic,10,8,6,6,0.807228915662651,0.723076923076923,1.11111111111111,0,0,0.5
M_PL_001,Chaetanthera euphrasioides,actinomorphic,10,8,8,1,0.72289156626506,0.8125,0.421052631578947,0,1,0
M_PL_001,Adesmia radicifolia,zygomorphic,9,8,4,8,0.927710843373494,0.784615384615385,1.44444444444444,1,1,1
M_PL_001,Mulinum spinosum,actinomorphic,8,7,7,1,0.903614457831325,1.0625,0.368421052631579,1,1,0
M_PL_001,Sisyrinchium arenarium,actinomorphic,8,4,4,2,0.530120481927711,0.5,0.631578947368421,0,0,0
M_PL_001,Chuquiraga oppositifolia,actinomorphic,7,7,6,3,0.759036144578313,0.78125,0.684210526315789,1,1,0
M_PL_001,Scypanthus elegans,actinomorphic,7,6,6,4,0.626506024096386,0.53125,0.947368421052632,0,0,0
M_PL_001,Senecio francisci,actinomorphic,7,6,6,1,0.457831325301205,0.515625,0.263157894736842,0,0,0
M_PL_001,Verbena scoparia,actinomorphic,7,6,6,1,0.63855421686747,0.703125,0.421052631578947,0,1,0
M_PL_001,Adesmia aconcaguensis,zygomorphic,6,5,4,2,0.783132530120482,0.892307692307692,0.388888888888889,1,1,0
M_PL_001,Berberis empetrifolia,actinomorphic,6,6,6,1,0.72289156626506,0.828125,0.368421052631579,0,1,0
M_PL_001,Calandrinia uspallatensis,actinomorphic,6,6,5,2,0.987951807228916,1.0625,0.736842105263158,1,1,0
M_PL_001,Cerastium arvense,actinomorphic,6,4,4,1,0.710843373493976,0.828125,0.315789473684211,1,1,0
M_PL_001,Haplopappus sericeus,actinomorphic,6,6,6,2,0.843373493975904,0.90625,0.631578947368421,1,1,0
M_PL_001,Hypochoeris sp1 M_PL_001,actinomorphic,6,5,5,2,0.650602409638554,0.640625,0.684210526315789,0,0.5,0
M_PL_001,Mustisia sinuata,actinomorphic,6,5,5,3,0.867469879518072,0.890625,0.789473684210526,1,1,0
M_PL_001,Adesmia brachy,zygomorphic,5,5,3,5,0.783132530120482,0.707692307692308,1.05555555555556,1,1,0.5
M_PL_001,Alstroemeria pallida,actinomorphic,5,5,4,2,0.385542168674699,0.359375,0.473684210526316,0,0,0
M_PL_001,Astragalus sp1 M_PL_001,zygomorphic,5,5,3,5,0.481927710843373,0.369230769230769,0.888888888888889,0,0,0.5
M_PL_001,Euphorbia portulacoides,actinomorphic,5,3,3,1,0.674698795180723,0.78125,0.315789473684211,1,1,0
M_PL_001,Madia sativa,actinomorphic,5,2,2,1,0.168674698795181,0.109375,0.368421052631579,0,0,0
M_PL_001,Nassauvia heterophylla,actinomorphic,5,3,3,0,0.156626506024096,0.1875,0.0526315789473684,0,0,0
M_PL_001,Perezia carthamoides,actinomorphic,5,5,5,1,0.481927710843373,0.515625,0.368421052631579,0,0,0
M_PL_001,Sisyrinchium junceum,actinomorphic,5,4,4,0,0.289156626506024,0.34375,0.105263157894737,0,0,0
M_PL_001,Anarthrophyllum cumingii,zygomorphic,4,4,3,1,0.265060240963855,0.246153846153846,0.333333333333333,0,0,0
M_PL_001,Loasa heterophylla,actinomorphic,4,4,4,2,0.469879518072289,0.453125,0.526315789473684,0,0,0
M_PL_001,Quinchamalium chilensis,actinomorphic,4,4,4,1,0.710843373493976,0.828125,0.315789473684211,1,1,0
M_PL_001,Sanicula graveolens,actinomorphic,4,3,3,1,0.650602409638554,0.75,0.315789473684211,1,1,0
M_PL_001,Sisyrinchium philippii,actinomorphic,4,4,4,2,0.72289156626506,0.734375,0.684210526315789,1,1,0
M_PL_001,Adesmia exilis,zygomorphic,3,2,0,2,0.0481927710843374,0,0.222222222222222,0,0,0
M_PL_001,Bowlesia tropaeolifolia,actinomorphic,3,3,3,1,0.710843373493976,0.8125,0.368421052631579,1,1,0
M_PL_001,Calceolaria montana,zygomorphic,3,3,2,3,0.36144578313253,0.307692307692308,0.555555555555556,0,0,0
M_PL_001,Chaetanthera microphylla,actinomorphic,3,3,2,1,0.433734939759036,0.46875,0.315789473684211,0,0,0
M_PL_001,Haplopappus chysanthemifolius,actinomorphic,3,3,3,2,0.686746987951807,0.71875,0.578947368421053,1,1,1
M_PL_001,Leucocoryne pauciflora,actinomorphic,3,3,3,1,0.590361445783133,0.65625,0.368421052631579,0,0,0
M_PL_001,Mustisia acerosa,actinomorphic,3,3,3,0,0.216867469879518,0.265625,0.0526315789473684,0,0,0
M_PL_001,Mustisia subulata,actinomorphic,3,3,3,0,0.265060240963855,0.3125,0.105263157894737,0,0,0
M_PL_001,Oxalis cinerea,actinomorphic,3,3,3,2,0.710843373493976,0.75,0.578947368421053,1,1,1
M_PL_001,Oxalis geminata,actinomorphic,3,2,2,1,0.313253012048193,0.3125,0.315789473684211,0,0,0
M_PL_001,Oxalis sp1 M_PL_001,actinomorphic,3,3,3,1,0.55421686746988,0.609375,0.368421052631579,0,0.5,0
M_PL_001,Schizanthus grahamii,actinomorphic,3,3,3,2,0.36144578313253,0.28125,0.631578947368421,0,0,0
M_PL_001,Senecio lithostaurus,actinomorphic,3,3,3,2,0.590361445783133,0.609375,0.526315789473684,1,1,0
M_PL_001,Valeriana gracileps,actinomorphic,3,2,2,1,0.63855421686747,0.734375,0.315789473684211,1,1,0
M_PL_001,Asteriscium aemocarpon,actinomorphic,2,2,2,0,0.289156626506024,0.359375,0.0526315789473684,0,0,0
M_PL_001,Berberis montana,actinomorphic,2,2,2,1,0.493975903614458,0.53125,0.368421052631579,0,0,0
M_PL_001,Erodium cicutarium,actinomorphic,2,2,2,1,0.63855421686747,0.734375,0.315789473684211,1,1,0
M_PL_001,Leuceria landbeckii,actinomorphic,2,2,2,2,0.542168674698795,0.578125,0.421052631578947,0,1,0
M_PL_001,Nardophyllum lanatum,actinomorphic,2,2,2,0,0.337349397590361,0.421875,0.0526315789473684,0,0,0
M_PL_001,Rhodophiala montana,actinomorphic,2,2,2,1,0.518072289156627,0.578125,0.315789473684211,0,0,0
M_PL_001,Trichocereus chiloensis,actinomorphic,2,0,0,0,0,0,0,0,0,0
M_PL_001,Tropaeolum sessilifolium,zygomorphic,2,2,2,2,0.397590361445783,0.4,0.388888888888889,0,0,0
M_PL_001,Viviania marifolia,actinomorphic,2,2,2,0,0.253012048192771,0.3125,0.0526315789473684,0,0,0
M_PL_001,Acaena pinn,actinomorphic,1,1,0,0,0.397590361445783,0.4375,0.263157894736842,0,0,0
M_PL_001,Adesmia montana,zygomorphic,1,1,0,0,0.0120481927710843,0.0153846153846154,0,0,0,0
M_PL_001,Barneoudia chilensis,actinomorphic,1,1,0,0,0.240963855421687,0.296875,0.0526315789473684,0,0,0
M_PL_001,Calceolaria arac,zygomorphic,1,1,0,0,0.036144578313253,0.0153846153846154,0.111111111111111,0,0,0
M_PL_001,Calceolaria biflora,zygomorphic,1,1,0,0,0.0120481927710843,0.0153846153846154,0,0,0,0
M_PL_001,Calceolaria indet,zygomorphic,1,1,0,0,0.253012048192771,0.246153846153846,0.277777777777778,0,0,0
M_PL_001,Cardamine nivalis,actinomorphic,1,1,0,0,0.240963855421687,0.296875,0.0526315789473684,0,0,0
M_PL_001,Clarkia tenella,actinomorphic,1,1,0,0,0.253012048192771,0.234375,0.315789473684211,0,0,0
M_PL_001,Collomia biflora,actinomorphic,1,1,0,0,0.0240963855421687,0.015625,0.0526315789473684,0,0,0
M_PL_001,Cynoglossum sp1 M_PL_001,actinomorphic,1,1,0,0,0.144578313253012,0.140625,0.157894736842105,0,0,0
M_PL_001,Hippeastrum uni,actinomorphic,1,0,0,0,0,0,0,0,0,0
M_PL_001,Lathyrus subandinus,zygomorphic,1,1,0,0,0.144578313253012,0.0923076923076923,0.333333333333333,0,0,0
M_PL_001,Lepidium suffruticosum,actinomorphic,1,1,0,0,0.0240963855421687,0.03125,0,0,0,0
M_PL_001,Leucocoryne ixioides,actinomorphic,1,1,0,0,0.036144578313253,0.046875,0,0,0,0
M_PL_001,Loasa sigmoidea,actinomorphic,1,1,0,0,0.253012048192771,0.234375,0.315789473684211,0,0,0
M_PL_001,Lupinus microcarpus,zygomorphic,1,1,0,0,0.253012048192771,0.246153846153846,0.277777777777778,0,0,0
M_PL_001,Malesherbia linearifolius,actinomorphic,1,1,0,0,0.0120481927710843,0,0.0526315789473684,0,0,0
M_PL_001,Nothoscordum andinum,actinomorphic,1,1,0,0,0.0240963855421687,0.03125,0,0,0,0
M_PL_001,Oenothera acaulis,actinomorphic,1,1,0,0,0.036144578313253,0.046875,0,0,0,0
M_PL_001,Salpiglossus sp1 M_PL_001,actinomorphic,1,1,0,0,0.253012048192771,0.234375,0.315789473684211,0,0,0
M_PL_001,Solanum tomatillo,actinomorphic,1,1,0,0,0.253012048192771,0.234375,0.315789473684211,0,0,0
M_PL_001,Solenomelus sisyrinchium,actinomorphic,1,1,0,0,0.253012048192771,0.234375,0.315789473684211,0,0,0
M_PL_001,Tetraglochin alatum,actinomorphic,1,1,0,0,0.397590361445783,0.4375,0.263157894736842,0,0,0
M_PL_001,Tristagma sessile,actinomorphic,1,1,0,0,0.397590361445783,0.4375,0.263157894736842,0,0,0
M_PL_001,Tropaeolum polyph,zygomorphic,1,1,0,0,0.168674698795181,0.153846153846154,0.222222222222222,0,0,0
M_PL_001,Tropaeolum tricolor,zygomorphic,1,1,0,0,0.253012048192771,0.246153846153846,0.277777777777778,0,0,0
M_PL_002,Senecio erucaeformis,actinomorphic,14,11,11,1,1.19047619047619,1.25714285714286,0.857142857142857,1,1,0
M_PL_002,Calandrinia affinis,actinomorphic,13,11,10,0,1.33333333333333,1.45714285714286,0.714285714285714,1,1,1
M_PL_002,Oxalis compacta,actinomorphic,12,10,10,1,1.02380952380952,1.11428571428571,0.571428571428571,1,1,0
M_PL_002,Senecio sp1 M_PL_002,actinomorphic,11,11,11,0,1.23809523809524,1.42857142857143,0.285714285714286,1,1,0
M_PL_002,Astragalus curvicaulis,zygomorphic,10,8,5,4,0.80952380952381,0.805555555555556,0.833333333333333,0.5,1,0
M_PL_002,Cerastium arvense,actinomorphic,10,10,10,2,0.880952380952381,0.914285714285714,0.714285714285714,0.5,0,1
M_PL_002,Chaetanthera euphrasioides,actinomorphic,10,7,7,0,0.857142857142857,0.942857142857143,0.428571428571429,1,1,0
M_PL_002,Senecio bustillosianus,actinomorphic,10,10,10,0,1.02380952380952,1.14285714285714,0.428571428571429,1,1,0
M_PL_002,Chuquiraga oppositifolia,actinomorphic,6,6,6,0,1.0952380952381,1.28571428571429,0.142857142857143,1,1,0
M_PL_002,Discaria nana,actinomorphic,6,5,5,0,0.714285714285714,0.828571428571429,0.142857142857143,0,1,0
M_PL_002,Laretia acaulis,actinomorphic,6,6,6,0,1.19047619047619,1.37142857142857,0.285714285714286,1,1,0
M_PL_002,Senecio francisci,actinomorphic,6,6,6,1,0.880952380952381,0.971428571428571,0.428571428571429,1,1,0
M_PL_002,Anarthrophyllum cumingii,zygomorphic,5,3,0,2,0.0952380952380952,0.0277777777777778,0.5,0,0,0
M_PL_002,Anarthrophyllum gayanum,zygomorphic,5,5,3,3,0.30952380952381,0.25,0.666666666666667,0,0,0
M_PL_002,Azorella monantha,actinomorphic,5,5,5,0,1,1.17142857142857,0.142857142857143,1,1,0
M_PL_002,Euphorbia portulacoides,actinomorphic,5,4,4,0,0.761904761904762,0.885714285714286,0.142857142857143,1,1,0
M_PL_002,Loasa caespitosa,actinomorphic,5,3,2,0,0.238095238095238,0.228571428571429,0.285714285714286,0,0,0
M_PL_002,Nassauvia heterophylla,actinomorphic,5,4,4,0,0.333333333333333,0.4,0,0,0,0
M_PL_002,Tropaeolum polyph,zygomorphic,5,4,3,1,0.380952380952381,0.416666666666667,0.166666666666667,0,0,0
M_PL_002,Berberis empetrifolia,actinomorphic,4,4,4,0,0.619047619047619,0.685714285714286,0.285714285714286,0,1,0
M_PL_002,Nassauvia axillaris,actinomorphic,4,4,4,1,0.595238095238095,0.628571428571429,0.428571428571429,0.5,1,0
M_PL_002,Sanicula graveolens,actinomorphic,4,4,4,0,0.595238095238095,0.685714285714286,0.142857142857143,0,1,0
M_PL_002,Azorella bolacina,actinomorphic,3,3,3,0,0.857142857142857,1,0.142857142857143,1,1,0
M_PL_002,Chaetanthera pusilla,actinomorphic,3,1,1,0,0.0714285714285714,0.0857142857142857,0,0,0,0
M_PL_002,Oxalis geminata,actinomorphic,3,3,3,0,0.452380952380952,0.514285714285714,0.142857142857143,0,0,0
M_PL_002,Calandrinia sericea,actinomorphic,2,2,2,0,0.547619047619048,0.6,0.285714285714286,0,1,0
M_PL_002,Calceolaria biflora,zygomorphic,2,1,0,1,0.0238095238095238,0,0.166666666666667,0,0,0
M_PL_002,Cerastium montioides,actinomorphic,2,2,2,1,0.166666666666667,0.142857142857143,0.285714285714286,0,0,0
M_PL_002,Mutisia sinuata,actinomorphic,2,2,2,0,0.261904761904762,0.314285714285714,0,0,0,0
M_PL_002,Oxalis cinerea,actinomorphic,2,2,2,0,0.119047619047619,0.114285714285714,0.142857142857143,0,0,0
