Taxon name,Genus,Family,URL,Reference,Symmetry,Notes,Data source,Rank scored at,Data entered by,Entry date,
Brunoniella australis,Brunoniella,Acanthaceae,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Brunoniella~australis,Flora of NSW Online (PlantNET) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),,guessed from the illustration,species,Ruby Stephens,28/1/2021,
Dicladanthera forrestii,Dicladanthera,Acanthaceae,https://www.jstor.org/stable/23873979,"Barker, R.M. (12 September 1986), A taxonomic revision of Australian Acanthaceae. Journal of the Adelaide Botanic Gardens 9: 172",207. Symmetry of perianth (D1): (5) actinomorphic (general),,guessed from the illustration,species,Ruby Stephens,28/1/2021,
Dicliptera armata,Dicliptera,Acanthaceae,https://florabase.dpaw.wa.gov.au/browse/profile/22083,Flora of Western Australia Online (FloraBase) (2021),207. Symmetry of perianth (D1): (2) zygomorphic,"""Flowers very irregular; zygomorphic. The floral asymmetry involving the perianth and involving the androecium""",explicit from the text (described as such),genus,Ruby Stephens,28/1/2021,
Dipteracanthus australasicus,Dipteracanthus,Acanthaceae,https://profiles.ala.org.au/opus/foa/profile/Dipteracanthus%20australasicus,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (2) zygomorphic,,guessed from the illustration,species,Ruby Stephens,28/1/2021,
Hygrophila angustifolia,Hygrophila,Acanthaceae,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Hygrophila~angustifolia,Flora of NSW Online (PlantNET) (2021),207. Symmetry of perianth (D1): (2) zygomorphic,,seen explicitly on the illustration,species,Ruby Stephens,28/1/2021,
Rostellularia adscendens,Rostellularia,Acanthaceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=rfk&pn=6184,Australian Plant Image Index (2021),207. Symmetry of perianth (D1): (2) zygomorphic,,seen explicitly on the illustration,species,Ruby Stephens,28/1/2021,
Carpobrotus modestus,Carpobrotus,Aizoaceae,https://profiles.ala.org.au/opus/foa/profile/Aizoaceae,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""flowers actinomorphic""",explicit from the text (described as such),family,Ruby Stephens,6/1/2021,
Carpobrotus rossii,Carpobrotus,Aizoaceae,https://profiles.ala.org.au/opus/foa/profile/Aizoaceae,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""flowers actinomorphic""",explicit from the text (described as such),family,Ruby Stephens,21/4/2021,
Carpobrotus virescens,Carpobrotus,Aizoaceae,https://profiles.ala.org.au/opus/foa/profile/Aizoaceae,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""flowers actinomorphic""",explicit from the text (described as such),family,Ruby Stephens,6/1/2021,
Disphyma crassifolium,Disphyma,Aizoaceae,https://profiles.ala.org.au/opus/foa/profile/Aizoaceae,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""flowers actinomorphic""",explicit from the text (described as such),family,Ruby Stephens,6/1/2021,
