family,order,clade
Amborellaceae,Amborellales,Angiospermae
Austrobaileyaceae,Austrobaileyales,Angiospermae
Schisandraceae,Austrobaileyales,Angiospermae
Trimeniaceae,Austrobaileyales,Angiospermae
Cabombaceae,Nymphaeales,Angiospermae
Hydatellaceae,Nymphaeales,Angiospermae
Nymphaeaceae,Nymphaeales,Angiospermae
Cornaceae,Cornales,Asteridae
Curtisiaceae,Cornales,Asteridae
Grubbiaceae,Cornales,Asteridae
Hydrangeaceae,Cornales,Asteridae
Hydrostachyaceae,Cornales,Asteridae
Loasaceae,Cornales,Asteridae
Nyssaceae,Cornales,Asteridae
Actinidiaceae,Ericales,Asteridae
Balsaminaceae,Ericales,Asteridae
Clethraceae,Ericales,Asteridae
Cyrillaceae,Ericales,Asteridae
Diapensiaceae,Ericales,Asteridae
Ebenaceae,Ericales,Asteridae
Ericaceae,Ericales,Asteridae
Fouquieriaceae,Ericales,Asteridae
Lecythidaceae,Ericales,Asteridae
Marcgraviaceae,Ericales,Asteridae
Mitrastemonaceae,Ericales,Asteridae
Pentaphylacaceae,Ericales,Asteridae
Polemoniaceae,Ericales,Asteridae
Primulaceae,Ericales,Asteridae
Roridulaceae,Ericales,Asteridae
Sapotaceae,Ericales,Asteridae
Sarraceniaceae,Ericales,Asteridae
Sladeniaceae,Ericales,Asteridae
Styracaceae,Ericales,Asteridae
Symplocaceae,Ericales,Asteridae
Tetrameristaceae,Ericales,Asteridae
Theaceae,Ericales,Asteridae
Apiaceae,Apiales,Campanulidae
Araliaceae,Apiales,Campanulidae
Griseliniaceae,Apiales,Campanulidae
Myodocarpaceae,Apiales,Campanulidae
Pennantiaceae,Apiales,Campanulidae
Pittosporaceae,Apiales,Campanulidae
Torricelliaceae,Apiales,Campanulidae
Aquifoliaceae,Aquifoliales,Campanulidae
Cardiopteridaceae,Aquifoliales,Campanulidae
Helwingiaceae,Aquifoliales,Campanulidae
Phyllonomaceae,Aquifoliales,Campanulidae
Stemonuraceae,Aquifoliales,Campanulidae
Alseuosmiaceae,Asterales,Campanulidae
Argophyllaceae,Asterales,Campanulidae
Asteraceae,Asterales,Campanulidae
Calyceraceae,Asterales,Campanulidae
Campanulaceae,Asterales,Campanulidae
Goodeniaceae,Asterales,Campanulidae
Menyanthaceae,Asterales,Campanulidae
Pentaphragmataceae,Asterales,Campanulidae
Phellinaceae,Asterales,Campanulidae
Rousseaceae,Asterales,Campanulidae
Stylidiaceae,Asterales,Campanulidae
Bruniaceae,Bruniales,Campanulidae
Columelliaceae,Bruniales,Campanulidae
Adoxaceae,Dipsacales,Campanulidae
Caprifoliaceae,Dipsacales,Campanulidae
Escalloniaceae,Escalloniales,Campanulidae
Paracryphiaceae,Paracryphiales,Campanulidae
Arecaceae,Arecales,Commelinidae
Dasypogonaceae,Arecales,Commelinidae
Commelinaceae,Commelinales,Commelinidae
Haemodoraceae,Commelinales,Commelinidae
Hanguanaceae,Commelinales,Commelinidae
Philydraceae,Commelinales,Commelinidae
Pontederiaceae,Commelinales,Commelinidae
Bromeliaceae,Poales,Commelinidae
Cyperaceae,Poales,Commelinidae
Ecdeiocoleaceae,Poales,Commelinidae
Eriocaulaceae,Poales,Commelinidae
Flagellariaceae,Poales,Commelinidae
Joinvilleaceae,Poales,Commelinidae
Juncaceae,Poales,Commelinidae
Mayacaceae,Poales,Commelinidae
Poaceae,Poales,Commelinidae
Rapateaceae,Poales,Commelinidae
Restionaceae,Poales,Commelinidae
Thurniaceae,Poales,Commelinidae
Typhaceae,Poales,Commelinidae
Xyridaceae,Poales,Commelinidae
Cannaceae,Zingiberales,Commelinidae
Costaceae,Zingiberales,Commelinidae
Heliconiaceae,Zingiberales,Commelinidae
Lowiaceae,Zingiberales,Commelinidae
Marantaceae,Zingiberales,Commelinidae
Musaceae,Zingiberales,Commelinidae
Strelitziaceae,Zingiberales,Commelinidae
Zingiberaceae,Zingiberales,Commelinidae
Buxaceae,Buxales,Eudicotyledoneae
Gunneraceae,Gunnerales,Eudicotyledoneae
Myrothamnaceae,Gunnerales,Eudicotyledoneae
Nelumbonaceae,Proteales,Eudicotyledoneae
Platanaceae,Proteales,Eudicotyledoneae
Proteaceae,Proteales,Eudicotyledoneae
Sabiaceae,Proteales,Eudicotyledoneae
Berberidaceae,Ranunculales,Eudicotyledoneae
Circaeasteraceae,Ranunculales,Eudicotyledoneae
Eupteleaceae,Ranunculales,Eudicotyledoneae
Lardizabalaceae,Ranunculales,Eudicotyledoneae
Menispermaceae,Ranunculales,Eudicotyledoneae
Papaveraceae,Ranunculales,Eudicotyledoneae
Ranunculaceae,Ranunculales,Eudicotyledoneae
Trochodendraceae,Trochodendrales,Eudicotyledoneae
Celastraceae,Celastrales,Fabidae
Lepidobotryaceae,Celastrales,Fabidae
Anisophylleaceae,Cucurbitales,Fabidae
Apodanthaceae,Cucurbitales,Fabidae
Begoniaceae,Cucurbitales,Fabidae
Coriariaceae,Cucurbitales,Fabidae
Corynocarpaceae,Cucurbitales,Fabidae
Cucurbitaceae,Cucurbitales,Fabidae
Datiscaceae,Cucurbitales,Fabidae
Tetramelaceae,Cucurbitales,Fabidae
Fabaceae,Fabales,Fabidae
Polygalaceae,Fabales,Fabidae
Quillajaceae,Fabales,Fabidae
Surianaceae,Fabales,Fabidae
Betulaceae,Fagales,Fabidae
Casuarinaceae,Fagales,Fabidae
Fagaceae,Fagales,Fabidae
Juglandaceae,Fagales,Fabidae
Myricaceae,Fagales,Fabidae
Nothofagaceae,Fagales,Fabidae
Ticodendraceae,Fagales,Fabidae
Achariaceae,Malpighiales,Fabidae
Balanopaceae,Malpighiales,Fabidae
Bonnetiaceae,Malpighiales,Fabidae
Calophyllaceae,Malpighiales,Fabidae
Caryocaraceae,Malpighiales,Fabidae
Centroplacaceae,Malpighiales,Fabidae
Chrysobalanaceae,Malpighiales,Fabidae
Clusiaceae,Malpighiales,Fabidae
Ctenolophonaceae,Malpighiales,Fabidae
Dichapetalaceae,Malpighiales,Fabidae
Elatinaceae,Malpighiales,Fabidae
Erythroxylaceae,Malpighiales,Fabidae
Euphorbiaceae,Malpighiales,Fabidae
Euphroniaceae,Malpighiales,Fabidae
Goupiaceae,Malpighiales,Fabidae
Humiriaceae,Malpighiales,Fabidae
Hypericaceae,Malpighiales,Fabidae
Irvingiaceae,Malpighiales,Fabidae
Ixonanthaceae,Malpighiales,Fabidae
Lacistemataceae,Malpighiales,Fabidae
Linaceae,Malpighiales,Fabidae
Lophopyxidaceae,Malpighiales,Fabidae
Malpighiaceae,Malpighiales,Fabidae
Ochnaceae,Malpighiales,Fabidae
Pandaceae,Malpighiales,Fabidae
Passifloraceae,Malpighiales,Fabidae
Peraceae,Malpighiales,Fabidae
Phyllanthaceae,Malpighiales,Fabidae
Picrodendraceae,Malpighiales,Fabidae
Podostemaceae,Malpighiales,Fabidae
Putranjivaceae,Malpighiales,Fabidae
Rafflesiaceae,Malpighiales,Fabidae
Rhizophoraceae,Malpighiales,Fabidae
Salicaceae,Malpighiales,Fabidae
Trigoniaceae,Malpighiales,Fabidae
Violaceae,Malpighiales,Fabidae
Brunelliaceae,Oxalidales,Fabidae
Cephalotaceae,Oxalidales,Fabidae
Connaraceae,Oxalidales,Fabidae
Cunoniaceae,Oxalidales,Fabidae
Elaeocarpaceae,Oxalidales,Fabidae
Huaceae,Oxalidales,Fabidae
Oxalidaceae,Oxalidales,Fabidae
Barbeyaceae,Rosales,Fabidae
Cannabaceae,Rosales,Fabidae
Dirachmaceae,Rosales,Fabidae
Elaeagnaceae,Rosales,Fabidae
Moraceae,Rosales,Fabidae
Rhamnaceae,Rosales,Fabidae
Rosaceae,Rosales,Fabidae
Ulmaceae,Rosales,Fabidae
Urticaceae,Rosales,Fabidae
Krameriaceae,Zygophyllales,Fabidae
Zygophyllaceae,Zygophyllales,Fabidae
Boraginaceae,Boraginales,Lamiidae
Codonaceae,Boraginales,Lamiidae
Coldeniaceae,Boraginales,Lamiidae
Cordiaceae,Boraginales,Lamiidae
Ehretiaceae,Boraginales,Lamiidae
Heliotropiaceae,Boraginales,Lamiidae
Hoplestigmataceae,Boraginales,Lamiidae
Hydrophyllaceae,Boraginales,Lamiidae
Namaceae,Boraginales,Lamiidae
Wellstediaceae,Boraginales,Lamiidae
Eucommiaceae,Garryales,Lamiidae
Garryaceae,Garryales,Lamiidae
Apocynaceae,Gentianales,Lamiidae
Gelsemiaceae,Gentianales,Lamiidae
Gentianaceae,Gentianales,Lamiidae
Loganiaceae,Gentianales,Lamiidae
Rubiaceae,Gentianales,Lamiidae
Icacinaceae,Icacinales,Lamiidae
Oncothecaceae,Icacinales,Lamiidae
Acanthaceae,Lamiales,Lamiidae
Bignoniaceae,Lamiales,Lamiidae
Byblidaceae,Lamiales,Lamiidae
Calceolariaceae,Lamiales,Lamiidae
Carlemanniaceae,Lamiales,Lamiidae
Gesneriaceae,Lamiales,Lamiidae
Lamiaceae,Lamiales,Lamiidae
Lentibulariaceae,Lamiales,Lamiidae
Linderniaceae,Lamiales,Lamiidae
Martyniaceae,Lamiales,Lamiidae
Mazaceae,Lamiales,Lamiidae
Oleaceae,Lamiales,Lamiidae
Orobanchaceae,Lamiales,Lamiidae
Paulowniaceae,Lamiales,Lamiidae
Pedaliaceae,Lamiales,Lamiidae
Peltantheraceae,Lamiales,Lamiidae
Phrymaceae,Lamiales,Lamiidae
Plantaginaceae,Lamiales,Lamiidae
Plocospermataceae,Lamiales,Lamiidae
Schlegeliaceae,Lamiales,Lamiidae
Scrophulariaceae,Lamiales,Lamiidae
Stilbaceae,Lamiales,Lamiidae
Tetrachondraceae,Lamiales,Lamiidae
Thomandersiaceae,Lamiales,Lamiidae
Verbenaceae,Lamiales,Lamiidae
Metteniusaceae,Metteniusales,Lamiidae
Convolvulaceae,Solanales,Lamiidae
Hydroleaceae,Solanales,Lamiidae
Montiniaceae,Solanales,Lamiidae
Solanaceae,Solanales,Lamiidae
Sphenocleaceae,Solanales,Lamiidae
Vahliaceae,Vahliales,Lamiidae
Canellaceae,Canellales,Magnoliidae
Winteraceae,Canellales,Magnoliidae
