species,og_species_patch,genus,family,stripped_name.x,allotb,gbotb,stripped_name.y,dist,manual_match_allotb,match_level
Erythrina_crista-galli,Erythrina_crista_galli,Erythrina,Fabaceae,erythrina cristagalli,Erythrina_crista-galli,Erythrina_crista-galli,erythrina cristagalli,0,Erythrina_crista-galli,manual_misspelling
Narcissus_cyclamineus,Narcissus_cyclamineus,Narcissus,Amaryllidaceae,narcissus cyclamineus,Narcissus_cyclaminus,NA,narcissus cyclaminus,0.02,Narcissus_cyclaminus,manual_misspelling
Agave_macroacantha,Agave_macroacantha,Agave,Asparagaceae,agave macroacantha,Agave_macracantha,NA,agave macracantha,0.02,Agave_macracantha,manual_misspelling
Eremurus_altaicus,Eremurus_altaicus,Eremurus,Asphodelaceae,eremurus altaicus,Eremurus_alaicus,NA,eremurus alaicus,0.02,Eremurus_alaicus,manual_misspelling
Billbergia_distachia,Billbergia_distachia,Billbergia,Bromeliaceae,billbergia distachia,Billbergia_distachya,Billbergia_distachya,billbergia distachya,0.03,Billbergia_distachya,manual_misspelling
Asclepias_speciosa,Asclepias_speciosa,Asclepias,Apocynaceae,asclepias speciosa,Ascolepis_speciosa,NA,ascolepis speciosa,0.04,NA,
Myrsine_guianensis,Myrsine_guianensis,Myrsine,Primulaceae,myrsine guianensis,Myrsine_niauensis,NA,myrsine niauensis,0.04,NA,
Myrsine_guianensis,Rapanea_guianensis,Myrsine,Primulaceae,myrsine guianensis,Myrsine_niauensis,NA,myrsine niauensis,0.04,NA,
Convolvulus_cantabrica,Convolvulus_cantabrica,Convolvulus,Convolvulaceae,convolvulus cantabrica,Convolvulus_cantabricus,Convolvulus_cantabricus,convolvulus cantabricus,0.04,Convolvulus_cantabricus,manual_misspelling
Echinocereus_chisoensis,Echinocereus_chisoensis,Echinocereus,Cactaceae,echinocereus chisoensis,Echinocereus_chisosensis_subsp._fobeanus,Echinocereus_chisosensis_subsp._fobeanus,echinocereus chisosensis,0.05,Echinocereus_chisosensis_subsp._fobeanus,manual_misspelling
Hibbertia_cistiflora,Hibbertia_cistiflora,Hibbertia,Dilleniaceae,hibbertia cistiflora,Hibbertia_cistifolia,NA,hibbertia cistifolia,0.05,NA,
Lysimachia_arvensis,Lysimachia_arvensis,Lysimachia,Primulaceae,lysimachia arvensis,Lysimachia_rapensis,NA,lysimachia rapensis,0.05,Anagallis_arvensis_subsp._arvensis,manual_synonym
Grevillea_speciosa,Grevillea_speciosa,Grevillea,Proteaceae,grevillea speciosa,Grevillea_spinosa,NA,grevillea spinosa,0.06,NA,
