og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch,pollination,sym_RS_scored,Accepted_name,Accepted_name_rank,Accepted_family,Accepted_genus,sym_species,sym_genus,sym_family,rank_sym_scored_at,sym_data_source,sym_data_reference,latitude_data_entry_notes
Acourtia.runcinata,Asteraceae,5,NA,NA,"Bee Creek Preserve, Austin, Texas",30.2952,NA,NA,NA,Cabrera & Dieringer (1992). Am. Midl. Nat. 128: 83-88.,NA,NA,NA,Capitulum: longevity for the single floret.,NA,NA,NA,marcoshighquality,5,Acourtia runcinata,NA,NA,Acourtia runcinata,species,Asteraceae,Acourtia,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,Latitude of Bee Creek in Austin Texas
Adansonia.digitata,Malvaceae,1,NA,NA,Kenia,NA,NA,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,NA,1,Nov-Dec.,NA,NA,NA,marcoshighquality,1,Adansonia digitata,NA,NA,Adansonia digitata,species,Malvaceae,Adansonia,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,Species not in paper?
Adansonia.gibbosa,Malvaceae,2 to 4,NA,NA,"Three sites in Crossing and Derby, WA (Australia)",-17.73577,NA,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,SI,1,Nov-Jan.,NA,NA,NA,marcoshighquality,3,Adansonia gibbosa,NA,NA,Adansonia gregorii,species,Malvaceae,Adansonia,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,"Species measured at three locations, averaged latitude of sites"
Aechmea.vanhoutteana,Bromeliaceae,0.375,NA,NA,"Itatiaia NP, Rio de Janeiro-Minas Gerais (Brazil)",-22.3669,NA,NA,Montane tropical rainforest,Zambon et al. (2020). Bot. J. Linn. Soc. 192: 803-815.,NA,NA,1,NA,NA,NA,Open at dawn,marcoshighquality,0.375,Aechmea vanhoutteana,NA,NA,Aechmea vanhoutteana,species,Bromeliaceae,Aechmea,actinomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic,NA,NA,NA,"Latitude is midpoint of very large national park in Brazil, no clues as to exact site location given in paper"
Ajuga.chamaepitys,Lamiaceae,2 to 3,NA,NA,"University of Córdoba, Córdoba(Spain)",NA,NA,NA,Greenhouse,Ruiz de Clavijo (1995). Int. J. Plant Sci. 158: 282-291.,NA,SC,0,"Dec-Feb, Apr-Jun (different cohorts).",NA,NA,NA,marcoshighquality,2.5,Ajuga chamaepitys,NA,NA,Ajuga chamaepitys,species,Lamiaceae,Ajuga,zygomorphic,zygomorphic,actinomorphic zygomorphic,NA,NA,NA,Won't do latitude because greenhouse
Ajuga.iva,Lamiaceae,2 to 6,NA,NA,"University of Córdoba, Córdoba(Spain)",NA,NA,NA,Greenhouse,Ruiz de Clavijo (1995). Int. J. Plant Sci. 158: 282-291.,NA,SC,0,Late May-Jul.,NA,NA,NA,marcoshighquality,4,Ajuga iva,NA,NA,Ajuga iva,species,Lamiaceae,Ajuga,zygomorphic,zygomorphic,actinomorphic zygomorphic,NA,NA,NA,Won't do latitude because greenhouse
Amborella.trichopoda,Amborellaceae,4 to 5,NA,NA,Col d'Amieu (New Caledonia),-21.61659,NA,500 to 800,Rain forest,Thien et al. (2003). Ann. MO Bot. Gard. 90: 466-490.,NA,NA,0,Nov-Apr. D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,4.5,Amborella trichopoda,NA,NA,Amborella trichopoda,species,Amborellaceae,Amborella,actinomorphic,actinomorphic,actinomorphic,NA,NA,NA,Latitude of Col d'Amieu
Amborella.trichopoda,Amborellaceae,1 to 2.8,NA,NA,NA,-21.61659,NA,NA,NA,Thien et al. (2003). Ann. MO Bot. Gard. 90: 466-490.,NA,NA,0,Nov-Apr. D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,1.9,Amborella trichopoda,NA,NA,Amborella trichopoda,species,Amborellaceae,Amborella,actinomorphic,actinomorphic,actinomorphic,NA,NA,NA,Latitude of Col d'Amieu
Anaxagorea.brevipes,Annonaceae,2,NA,0,"Manaus, Manaus (Brazil)",-3.1235,NA,NA,NA,Gottsberger (2016). Acta Bot. Brasil. 30: 313-325.,NA,NA,Thermogenesis,Sep-Dec.,NA,NA,NA,marcoshighquality,2,Anaxagorea brevipes,NA,NA,Anaxagorea brevipes,species,Annonaceae,Anaxagorea,actinomorphic,NA,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,Latitude of Manaus city
Anaxagorea.crassipetala,Annonaceae,1,NA,NA,"OTS field station, La Selva (Costa Rica)",10.4576,NA,NA,Primary rain forest,Armstrong & Marsh (1997). J. Torrey Bot. Soc. 124: 228-235.,NA,SC Xen,Fleshy petals,NA,NA,NA,Open at dawn,marcoshighquality,1,Anaxagorea crassipetala,NA,NA,Anaxagorea crassipetala,species,Annonaceae,Anaxagorea,actinomorphic,NA,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,"Latitude of La Selva Biological Station, Costa Rica"
