"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","selected","unique_id"
"1","Abolboda poarchon","1","331776","Abolboda poarchon","1","species","","","","Seub.","Xyridaceae","Abolboda","Abolboda","1","poarchon","poarchon","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000336975;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:217329","","Y","Accepted","Abolboda poarchon","Abolboda poarchon","Seub.","331776","species","http://www.worldfloraonline.org/taxon/wfo-0000336975;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:217329","","Xyridaceae","1","1","wfo,wcvp","",true,0
"2","Abolboda pulchella","1","331784","Abolboda pulchella","1","species","","","","Bonpl.","Xyridaceae","Abolboda","Abolboda","1","pulchella","pulchella","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000336983;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:217336","","Y","Accepted","Abolboda pulchella","Abolboda pulchella","Bonpl.","331784","species","http://www.worldfloraonline.org/taxon/wfo-0000336983;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:217336","","Xyridaceae","1","1","wfo,wcvp","",true,1
"3","Abrus precatorius","1","176359","Abrus precatorius","1","species","","","","L.","Fabaceae","Abrus","Abrus","1","precatorius","precatorius","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000178702;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2610328","","Y","Accepted","Abrus precatorius","Abrus precatorius","L.","176359","species","http://www.worldfloraonline.org/taxon/wfo-0000178702;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2610328","","Fabaceae","1","1","wfo,wcvp","",true,2
"4","Acanthus spinosus","1","507221","Acanthus spinosus","1","species","","","","L.","Acanthaceae","Acanthus","Acanthus","1","spinosus","spinosus","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000513891;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2615301","","Y","Accepted","Acanthus spinosus","Acanthus spinosus","L.","507221","species","http://www.worldfloraonline.org/taxon/wfo-0000513891;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2615301","","Acanthaceae","1","1","wfo,wcvp","",true,3
"5","Achillea ambrosiaca","1","133802","Achillea ambrosiaca","1","species","","","","Boiss.","Asteraceae","Achillea","Achillea","1","ambrosiaca","ambrosiaca","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000135220","","Y","Accepted","Achillea ambrosiaca","Achillea ambrosiaca","Boiss.","133802","species","http://www.worldfloraonline.org/taxon/wfo-0000135220","","Asteraceae","1","1","wfo","",true,4
"6","Achyrantes aspera var indica","0.99125249213133","509495","Achyranthes aspera var. indica","0.99125249213133","variety","","","","L.","Amaranthaceae","Achyrantes","Achyranthes","0.90909090909091","aspera","aspera","1","","","","var.","indica","1","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000516186;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2617484","","Y","Accepted","Achyranthes aspera var. indica","Achyranthes aspera","L.","509495","variety","http://www.worldfloraonline.org/taxon/wfo-0000516186;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2617484","","Amaranthaceae","1","1","wfo,wcvp","",true,6
"8","Aconitum columbianum","1","510402","Aconitum columbianum","1","species","","","","Nutt.","Ranunculaceae","Aconitum","Aconitum","1","columbianum","columbianum","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000517097;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2618552","","Y","Accepted","Aconitum columbianum","Aconitum columbianum","Nutt.","510402","species","http://www.worldfloraonline.org/taxon/wfo-0000517097;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2618552","","Ranunculaceae","1","1","wfo,wcvp","",true,7
"9","Aconitum lycoctonum","1","510891","Aconitum lycoctonum","1","species","","","","L.","Ranunculaceae","Aconitum","Aconitum","1","lycoctonum","lycoctonum","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000517589;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2619019","","Y","Accepted","Aconitum lycoctonum","Aconitum lycoctonum","L.","510891","species","http://www.worldfloraonline.org/taxon/wfo-0000517589;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2619019","","Ranunculaceae","1","1","wfo,wcvp","",true,8
"10","Acosmium dasycarpum","1","162334","Acosmium dasycarpum","1","species","","","","(Vogel) Yakovlev","Fabaceae","Acosmium","Acosmium","1","dasycarpum","dasycarpum","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000164233;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2619923","","Y","Synonym","Leptolobium dasycarpum","Leptolobium dasycarpum","Vogel","164659","species","http://www.worldfloraonline.org/taxon/wfo-0000166614;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2346011","","Fabaceae","1","1","wfo,wcvp","",true,11
"11","Acourtia runcinata","1","118422","Acourtia runcinata","1","species","","","","(D.Don) B.L.Turner","Asteraceae","Acourtia","Acourtia","1","runcinata","runcinata","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000119619;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3037807","","Y","Accepted","Acourtia runcinata","Acourtia runcinata","(D.Don) B.L.Turner","118422","species","http://www.worldfloraonline.org/taxon/wfo-0000119619;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3037807","","Asteraceae","1","1","wfo,wcvp","",true,12
