timestamp,site,species,individual,observer,buds,flowers,finished,notes,keep1,births1,deaths1,keep2,births2,deaths2
14/9/2022 10:49,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc01,Ruby Stephens,4,1,0,,1,1,0,1,1,0
15/9/2022 10:34,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc01,Ruby Stephens,3,2,0,2 flowers just opening,1,1,0,0,,
16/9/2022 10:39,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc01,Ruby Stephens,3,1,1,One flower finished!,1,0,1,1,1,1
17/9/2022 13:50,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc01,Eulalie McIntyre-Ding,2,2,1,,1,1,0,0,,
18/9/2022 14:08,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc01,Ruby Stephens,1,3,1,,1,1,0,1,2,0
19/9/2022 15:18,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc01,Ruby Stephens,0,3,2,,1,1,1,0,,
20/9/2022 10:44,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc01,Ruby Stephens,0,0,4,All finished! Removed tag,1,0,3,1,0,3
14/9/2022 11:01,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc02,Ruby Stephens,12,0,0,,1,0,0,0,,
15/9/2022 10:47,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc02,Ruby Stephens,11,1,0,1 flower just opening,1,1,0,1,1,0
16/9/2022 10:30,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc02,Ruby Stephens,7,3,0,,1,2,0,0,,
17/9/2022 13:45,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc02,Eulalie McIntyre-Ding,7,6,0,,1,3,0,1,5,0
18/9/2022 14:13,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc02,Ruby Stephens,7,5,1,,1,0,1,0,,
19/9/2022 15:26,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc02,Ruby Stephens,5,4,4,,1,2,3,1,2,4
20/9/2022 10:34,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc02,Ruby Stephens,5,4,4,,1,0,0,0,,
21/9/2022 9:12,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc02,Ruby Stephens,4,4,5,,1,1,1,1,1,1
22/9/2022 9:14,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc02,Ruby Stephens,3,2,7,,1,0,2,0,,
23/9/2022 11:04,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc02,Ruby Stephens,2,2,9,,1,2,2,1,2,4
24/9/2022 14:40,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc02,Ruby Stephens,2,2,9,,1,0,0,0,,
25/9/2022 14:25,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc02,Ruby Stephens,0,2,11,,1,2,2,1,2,2
26/9/2022 14:45,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc02,Ruby Stephens,0,2,11,,1,0,0,0,,
27/9/2022 11:01,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc02,Ruby Stephens,0,2,11,,1,0,0,1,0,0
28/9/2022 11:49,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc02,Ruby Stephens,0,1,12,Split the difference,1,0,1,0,,
16/9/2022 10:20,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc03,Ruby Stephens,9,0,0,,1,0,0,1,0,0
17/9/2022 14:02,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc03,Ruby Stephens,4,2,0,,1,2,0,0,,
18/9/2022 14:21,"Sassafras Gully, Springwood",Bossiaea obcordata,Bobc03,Ruby Stephens,4,4,0,,1,2,0,1,4,0
