individual,birthtime1,deathtime1,no_flowers1,longevity_days1,birthtime2,deathtime2,no_flowers2,longevity_days2,birthtime3,deathtime3,no_flowers3,longevity_days3,species,symmetry_all,diff_long_1_2,diff_long_1_3
Bobc01,2022-09-16T17:19:48Z,2022-09-19T01:37:48Z,5,2.34583333333333,2022-09-16T14:26:00Z,2022-09-19T00:42:45Z,4,2.42829861111111,2022-09-17T02:18:15Z,2022-09-19T07:30:30Z,4,2.21684027777778,Bossiaea obcordata,zygomorphic,-0.0824652777777777,0.128993055555556
Bobc02,2022-09-19T13:41:50Z,2022-09-22T02:34:50Z,12,2.5367966524208,2022-09-19T17:53:23Z,2022-09-21T20:32:54Z,11,2.11078088577975,2022-09-19T06:48:10Z,2022-09-22T12:27:49Z,11,3.23585858585658,Bossiaea obcordata,zygomorphic,0.426015766641056,-0.699061933435776
Bobc03,2022-09-19T08:40:07Z,2022-09-22T20:06:00Z,8,3.47630208333333,2022-09-20T02:41:37Z,2022-09-23T07:39:00Z,8,3.20651041666667,2022-09-19T16:32:30Z,2022-09-22T01:20:40Z,6,2.36678240740741,Bossiaea obcordata,zygomorphic,0.269791666666666,1.10951967592593
Bobc04,2022-09-19T19:02:54Z,2022-09-21T16:13:38Z,22,1.88244675010995,2022-09-20T09:17:10Z,2022-09-22T05:42:00Z,22,1.85057367149878,2022-09-20T06:39:57Z,2022-09-23T00:38:37Z,21,2.74907407407407,Bossiaea obcordata,zygomorphic,0.0318730786111618,-0.866627323964128
Bobc05,2022-09-19T13:21:09Z,2022-09-21T18:38:27Z,13,2.22035256410363,2022-09-20T01:00:55Z,2022-09-22T09:34:04Z,13,2.35635683760599,NA,NA,NA,NA,Bossiaea obcordata,zygomorphic,-0.136004273502363,NA
Glat01,2022-09-20T15:12:30Z,2022-09-24T23:12:30Z,4,4.33333333333333,2022-09-21T01:08:30Z,2022-09-25T04:55:00Z,4,4.15729166666667,2022-09-22T15:02:00Z,2022-09-25T16:55:00Z,4,3.07847222222222,Gompholobium latifolium,zygomorphic,0.176041666666666,1.25486111111111
Glat02,2022-09-26T03:21:48Z,2022-09-28T01:53:45Z,4,1.93885416666667,2022-09-26T12:52:24Z,2022-09-28T01:08:00Z,3,1.51083333333333,2022-09-26T22:20:30Z,2022-09-29T04:52:00Z,4,2.271875,Gompholobium latifolium,zygomorphic,0.428020833333334,-0.333020833333333
Glat03,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gompholobium latifolium,zygomorphic,NA,NA
Glat04,2022-09-28T01:19:00Z,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,Gompholobium latifolium,zygomorphic,NA,NA
Glat05,2022-09-25T17:06:30Z,2022-09-28T01:17:00Z,1,2.340625,2022-09-26T03:16:00Z,2022-09-29T01:17:00Z,1,2.91736111111111,NA,NA,0,NA,Gompholobium latifolium,zygomorphic,-0.576736111111111,NA
Gmuc01,2022-09-17T03:57:00Z,2022-09-21T00:10:30Z,2,3.84270833333333,2022-09-18T04:23:00Z,2022-09-21T00:10:30Z,2,2.82465277777778,2022-09-19T05:37:00Z,2022-09-21T23:32:00Z,2,2.74652777777778,Grevillea mucronulata,zygomorphic,1.01805555555556,1.09618055555556
Gmuc02,2022-09-21T12:38:00Z,2022-09-27T13:33:30Z,4,6.03854166666667,2022-09-22T01:29:00Z,2022-09-27T13:33:30Z,4,5.503125,2022-09-22T18:56:30Z,2022-09-28T00:49:00Z,4,5.24479166666667,Grevillea mucronulata,zygomorphic,0.535416666666666,0.793749999999999
Gmuc03,2022-09-25T05:15:00Z,NA,0,NA,2022-09-25T05:15:00Z,NA,0,NA,NA,NA,NA,NA,Grevillea mucronulata,zygomorphic,NA,NA
Gmuc04,2022-09-22T08:51:00Z,2022-09-26T17:33:20Z,3,4.36273148148148,2022-09-23T01:57:00Z,2022-09-27T00:19:00Z,3,3.93194444444444,2022-09-24T05:38:00Z,2022-09-27T00:19:00Z,3,2.77847222222222,Grevillea mucronulata,zygomorphic,0.430787037037037,1.58425925925926
Llon01,2022-09-16T12:53:21Z,NA,0,NA,2022-09-16T23:54:43Z,NA,0,NA,2022-09-18T03:58:00Z,NA,0,NA,Lomandra longifolia,actinomorphic (incl. rotational and spiral),NA,NA
Llon02,2022-09-17T19:34:13Z,2022-09-25T12:55:50Z,13,7.72334401709614,2022-09-18T05:14:00Z,2022-09-26T08:29:27Z,13,8.13573717948739,2022-09-18T17:10:13Z,2022-09-25T21:45:21Z,11,7.19106449106501,Lomandra longifolia,actinomorphic (incl. rotational and spiral),-0.412393162391251,0.532279526031128
Llon03,2022-09-17T02:36:46Z,2022-09-26T04:40:00Z,9,9.0855709876534,2022-09-17T20:03:46Z,2022-09-27T04:40:00Z,9,9.35848765432007,2022-09-18T10:22:00Z,2022-09-26T04:40:00Z,9,7.7625,Lomandra longifolia,actinomorphic (incl. rotational and spiral),-0.272916666666667,1.3230709876534
Llon04,2022-09-17T03:07:53Z,2022-09-26T06:30:53Z,9,9.14097222222222,2022-09-17T10:30:53Z,2022-09-26T14:33:53Z,9,9.16875,NA,NA,NA,NA,Lomandra longifolia,actinomorphic (incl. rotational and spiral),-0.0277777777777768,NA
