species,og_species_patch,genus,family,allotb,gbotb,match_level_allotb,match_level_gbotb
Abolboda_poarchon,Abolboda_poarchon,Abolboda,Xyridaceae,Abolboda_poarchon,NA,direct_accepted,NA
Abolboda_pulchella,Abolboda_pulchella,Abolboda,Xyridaceae,Abolboda_pulchella,NA,direct_accepted,NA
Abrus_precatorius,Abrus_precatorius,Abrus,Fabaceae,Abrus_precatorius,Abrus_precatorius,direct_accepted,direct_accepted
Acanthus_spinosus,Acanthus_spinosus,Acanthus,Acanthaceae,Acanthus_spinosus,Acanthus_spinosus,direct_accepted,direct_accepted
Achillea_ambrosiaca,Achillea_ambrosiaca,Achillea,Asteraceae,Achillea_setacea,Achillea_setacea,direct_genus_accepted,direct_genus_accepted
Achyranthes_aspera_var._indica,Achyrantes_aspera_var_indica,Achyranthes,Amaranthaceae,Achyranthes_aspera_var._sicula,Achyranthes_arborescens,direct_accepted_nosubsp,direct_genus_accepted
Iochroma_arborescens,Acnistus_arborescens,Iochroma,Solanaceae,Acnistus_arborescens,Acnistus_arborescens,direct_original,direct_original
Aconitum_columbianum,Aconitum_columbianum,Aconitum,Ranunculaceae,Aconitum_columbianum,Aconitum_columbianum,direct_accepted,direct_accepted
Aconitum_lycoctonum,Aconitum_lycoctonum,Aconitum,Ranunculaceae,Aconitum_lycoctonum,Aconitum_lycoctonum,direct_accepted,direct_accepted
Leptolobium_dasycarpum,Acosmium_dasycarpum,Leptolobium,Fabaceae,Leptolobium_dasycarpum,Leptolobium_dasycarpum,direct_accepted,direct_accepted
Acourtia_runcinata,Acourtia_runcinata,Acourtia,Asteraceae,Acourtia_runcinata,Acourtia_runcinata,direct_accepted,direct_accepted
Adansonia_digitata,Adansonia_digitata,Adansonia,Malvaceae,Adansonia_digitata,Adansonia_digitata,direct_accepted,direct_accepted
Adansonia_gregorii,Adansonia_gibbosa,Adansonia,Malvaceae,Adansonia_gregorii,Adansonia_gregorii,direct_accepted,direct_accepted
Adansonia_grandidieri,Adansonia_grandidieri,Adansonia,Malvaceae,Adansonia_grandidieri,Adansonia_grandidieri,direct_accepted,direct_accepted
Adansonia_madagascariensis,Adansonia_madagascariensis,Adansonia,Malvaceae,Adansonia_madagascariensis,Adansonia_madagascariensis,direct_accepted,direct_accepted
Adansonia_perrieri,Adansonia_perrieri,Adansonia,Malvaceae,Adansonia_perrieri,Adansonia_perrieri,direct_accepted,direct_accepted
Adansonia_fony_var._rubrostipa,Adansonia_rubrostipa,Adansonia,Malvaceae,Adansonia_rubrostipa,Adansonia_rubrostipa,direct_original,direct_original
Adansonia_suarezensis,Adansonia_suarecensis,Adansonia,Malvaceae,Adansonia_suarezensis,Adansonia_suarezensis,direct_accepted,direct_accepted
Adansonia_za,Adansonia_za,Adansonia,Malvaceae,Adansonia_za,Adansonia_za,direct_accepted,direct_accepted
Adenophora_capillaris,Adenophora_capillaris,Adenophora,Campanulaceae,Adenophora_capillaris,Adenophora_capillaris,direct_accepted,direct_accepted
Adenophora_jasionifolia,Adenophora_jasionifolia,Adenophora,Campanulaceae,Adenophora_jasionifolia,Adenophora_stricta,direct_accepted,direct_genus_accepted
Adenophora_khasiana,Adenophora_khasiana,Adenophora,Campanulaceae,Adenophora_khasiana,Adenophora_khasiana,direct_accepted,direct_accepted
Adenophora_triphylla_var._japonica,Adenophora_triphylla_var_japonica,Adenophora,Campanulaceae,Adenophora_triphylla_var._japonica,Adenophora_stricta,direct_accepted,direct_genus_accepted
Adonis_ramosa,Adonis_ramosa,Adonis,Ranunculaceae,Adonis_ramosa,Adonis_ramosa,direct_accepted,direct_accepted
Aechmea_lasseri,Aechmea_lasseri,Aechmea,Bromeliaceae,Aechmea_lasseri,Aechmea_miniata,direct_accepted,direct_genus_accepted
Aechmea_mariae-reginae,Aechmea_mariae-reginae,Aechmea,Bromeliaceae,Aechmea_mariae-reginae,Aechmea_mariae-reginae,direct_accepted,direct_accepted
Aechmea_pectinata,Aechmea_pectinata,Aechmea,Bromeliaceae,Aechmea_pectinata,Aechmea_pectinata,direct_accepted,direct_accepted
Aechmea_vanhoutteana,Aechmea_vanhoutteana,Aechmea,Bromeliaceae,Aechmea_vanhoutteana,Aechmea_vanhoutteana,direct_accepted,direct_accepted
Agalinis_auriculata,Agalinis_auriculata,Agalinis,Orobanchaceae,Agalinis_auriculata,Agalinis_auriculata,direct_accepted,direct_accepted
Agarista_revoluta,Agarista_revoluta,Agarista,Ericaceae,Agarista_revoluta,Agarista_populifolia,direct_accepted,direct_genus_accepted
Agave_macroacantha,Agave_macroacantha,Agave,Asparagaceae,Agave_macracantha,Agave_attenuata,manual_misspelling,direct_genus_accepted
Ajuga_chamaepitys,Ajuga_chamaepitys,Ajuga,Lamiaceae,Ajuga_chamaepitys,Ajuga_chamaepitys,direct_accepted,direct_accepted
Ajuga_iva,Ajuga_iva,Ajuga,Lamiaceae,Ajuga_iva,Ajuga_reptans,direct_accepted,direct_genus_accepted
Alcea_biennis,Alcea_biennis,Alcea,Malvaceae,Alcea_biennis,Alcea_arbelensis,direct_accepted,direct_genus_accepted
Alkanna_tinctoria,Alkanna_tinctoria,Alkanna,Boraginaceae,Alkanna_tinctoria,Alkanna_tinctoria,direct_accepted,direct_accepted
Allium_neapolitanum,Allium_neapolitanum,Allium,Amaryllidaceae,Allium_kasteki,Allium_kasteki,direct_genus_accepted,direct_genus_accepted
Allium_subhirsutum,Allium_subhirsutum,Allium,Amaryllidaceae,Allium_subhirsutum,Allium_subhirsutum,direct_accepted,direct_accepted
Alstroemeria_aurea,Alstroemeria_aurea,Alstroemeria,Alstroemeriaceae,Alstroemeria_aurea,Alstroemeria_aurea,direct_accepted,direct_accepted
Alstroemeria_umbellata,Alstroemeria_umbellata,Alstroemeria,Alstroemeriaceae,Alstroemeria_umbellata,Alstroemeria_umbellata,direct_accepted,direct_accepted
Alternanthera_ficoidea,Alternanthera_ficoidea,Alternanthera,Amaranthaceae,Alternanthera_ficoidea,Alternanthera_ficoidea,direct_accepted,direct_accepted
Alysicarpus_vaginalis,Alysicarpus_vaginalis,Alysicarpus,Fabaceae,Alysicarpus_vaginalis,Alysicarpus_vaginalis,direct_accepted,direct_accepted
Amborella_trichopoda,Amborella_trichopoda,Amborella,Amborellaceae,Amborella_trichopoda,Amborella_trichopoda,direct_accepted,direct_accepted
Lysimachia_arvensis,Lysimachia_arvensis,Lysimachia,Primulaceae,Anagallis_arvensis_subsp._arvensis,Anagallis_arvensis_subsp._arvensis,manual_synonym,manual_synonym
Anaxagorea_brevipes,Anaxagorea_brevipes,Anaxagorea,Annonaceae,Anaxagorea_brevipes,Anaxagorea_brevipes,direct_accepted,direct_accepted
Anaxagorea_crassipetala,Anaxagorea_crassipetala,Anaxagorea,Annonaceae,Anaxagorea_crassipetala,Anaxagorea_crassipetala,direct_accepted,direct_accepted
Anaxagorea_dolichocarpa,Anaxagorea_dolichocarpa,Anaxagorea,Annonaceae,Anaxagorea_dolichocarpa,Anaxagorea_dolichocarpa,direct_accepted,direct_accepted
Anaxagorea_manausensis,Anaxagorea_manausensis,Anaxagorea,Annonaceae,Anaxagorea_manausensis,Anaxagorea_manausensis,direct_accepted,direct_accepted
Anaxagorea_phaeocarpa,Anaxagorea_phaeocarpa,Anaxagorea,Annonaceae,Anaxagorea_phaeocarpa,Anaxagorea_phaeocarpa,direct_accepted,direct_accepted
Anaxagorea_prinoides,Anaxagorea_prinoides,Anaxagorea,Annonaceae,Anaxagorea_prinoides,Anaxagorea_prinoides,direct_accepted,direct_accepted
Anchusa_undulata,Anchusa_undulata,Anchusa,Boraginaceae,Anchusa_undulata_subsp._hybrida,Anchusa_undulata_subsp._hybrida,direct_accepted_nosubsp,direct_accepted_nosubsp
Anchusa_variegata,Anchusa_variegata,Anchusa,Boraginaceae,Anchusa_milleri,Anchusa_milleri,direct_genus_accepted,direct_genus_accepted
Anemone_coronaria,Anemone_coronaria,Anemone,Ranunculaceae,Anemone_coronaria,Anemone_coronaria,direct_accepted,direct_accepted
Anemone_hortensis,Anemone_hortensis,Anemone,Ranunculaceae,Anemone_hortensis,Anemone_hortensis,direct_accepted,direct_accepted
Annona_crassiflora,Annona_crassiflora,Annona,Annonaceae,Annona_crassiflora,Annona_crassiflora,direct_accepted,direct_accepted
Anthyllis_hermanniae,Anthyllis_hermanniae,Anthyllis,Fabaceae,Anthyllis_hermanniae,Anthyllis_terniflora,direct_accepted,direct_genus_accepted
Anthyllis_vulneraria,Anthyllis_vulneraria,Anthyllis,Fabaceae,Anthyllis_vulneraria,Anthyllis_vulneraria,direct_accepted,direct_accepted
Anticlea_occidentalis,Anticlea_occidentalis,Anticlea,Melanthiaceae,Anticlea_occidentalis,Anticlea_occidentalis,direct_accepted,direct_accepted
Alpinia_roxburghii,Apinia_roxburghii,Alpinia,Zingiberaceae,Alpinia_roxburghii,Alpinia_roxburghii,direct_accepted,direct_accepted
Apocynum_cannabinum,Apocynum_cannabinum,Apocynum,Apocynaceae,Apocynum_cannabinum,Apocynum_cannabinum,direct_accepted,direct_accepted
Arabis_caucasica,Arabis_caucasica,Arabis,Brassicaceae,Arabis_caucasica,Arabis_georgiana,direct_accepted,direct_genus_accepted
Ardisia_compressa,Ardisia_compressa,Ardisia,Primulaceae,Ardisia_compressa,Ardisia_opegrapha,direct_accepted,direct_genus_accepted
Arenaria_cretica,Arenaria_cretica,Arenaria,Caryophyllaceae,Arenaria_debilis,Arenaria_debilis,direct_genus_accepted,direct_genus_accepted
Argythamnia_candicans,Argythamnia_candicans,Argythamnia,Euphorbiaceae,Argythamnia_candicans,Argythamnia_candicans,direct_accepted,direct_accepted
Aristolochia_baetica,Aristolochia_baetica,Aristolochia,Aristolochiaceae,Aristolochia_baetica,Aristolochia_baetica,direct_accepted,direct_accepted
