individual,birthtime,deathtime,no_flowers,longevity_days,infloheight_m,habit,height_m,inflosize_cm,flowersperplant,budsperplant,florallength_cm,floraldiam_cm,colour,tube,no_carpels,no_ovules,no_stamens,species,site,latitude,longitude,symmetry
Alon01,2022-10-08T05:03:17Z,2022-10-10T04:42:24Z,12,1.98549768518519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Astrotricha longifolia,"Yondell Ave, Springwood",-33.717968,150.55742,actinomorphic (incl. rotational and spiral)
Alon02,2022-10-21T16:22:05Z,2022-10-23T10:40:54Z,14,1.76306134259259,1.3,shrub (woody plant branching from the base),1.45,5,1,110,0.7,0.6,white,absent,2,NA,5,Astrotricha longifolia,"Yondell Ave, Springwood",-33.717968,150.55742,actinomorphic (incl. rotational and spiral)
Alon03,2022-10-12T09:36:43Z,2022-10-14T10:56:36Z,16,2.05547743055556,1.25,shrub (woody plant branching from the base),1.46,4,14,1000,0.6,0.6,white,absent,2,NA,5,Astrotricha longifolia,"Yondell Ave, Springwood",-33.717968,150.55742,actinomorphic (incl. rotational and spiral)
Alon04,2022-10-14T17:29:04Z,2022-10-16T19:50:29Z,8,2.09820891203704,1.2,shrub (woody plant branching from the base),1.24,3.5,25,380,0.6,0.6,white,absent,2,NA,5,Astrotricha longifolia,"Yondell Ave, Springwood",-33.717968,150.55742,actinomorphic (incl. rotational and spiral)
Alon05,2022-10-12T15:13:25Z,2022-10-14T09:07:30Z,7,1.74588293650636,1.11,shrub (woody plant branching from the base),1.28,3,0,400,NA,NA,white,absent,2,NA,5,Astrotricha longifolia,"Yondell Ave, Springwood",-33.717968,150.55742,actinomorphic (incl. rotational and spiral)
Aoxy01,2021-07-25T01:34:15Z,2021-08-10T02:32:44Z,60,16.0406107253085,1.43,shrub (woody plant branching from the base),2.3,3,150,1000,0.5,0.8,yellow,absent,1,1,30,Acacia oxycedrus,"Murrua Trail, North Turramurra",-33.69307,151.1445,actinomorphic (incl. rotational and spiral)
Aoxy02,2021-08-07T07:15:45Z,2021-08-24T01:38:20Z,50,16.7656884259261,NA,shrub (woody plant branching from the base),2.5,2.4,1000,1000,0.4,0.5,yellow,absent,1,1,30,Acacia oxycedrus,"Murrua Trail, North Turramurra",-33.69307,151.1445,actinomorphic (incl. rotational and spiral)
Aoxy03,2021-08-03T04:52:49Z,2021-08-18T00:06:22Z,13,14.8010852920236,1.36,shrub (woody plant branching from the base),1.65,1,150,1500,0.5,0.5,yellow,absent,1,1,30,Acacia oxycedrus,"Murrua Trail, North Turramurra",-33.69307,151.1445,actinomorphic (incl. rotational and spiral)
Aoxy04,2021-08-03T04:56:13Z,2021-08-18T05:37:43Z,35,15.0288194444444,2.8,shrub (woody plant branching from the base),4.5,2,1000,3000,0.5,0.5,yellow,absent,1,1,30,Acacia oxycedrus,"Murrua Trail, North Turramurra",-33.69307,151.1445,actinomorphic (incl. rotational and spiral)
Aoxy05,2021-08-07T14:12:04Z,2021-08-24T03:22:45Z,36,16.5490798611111,1.6,shrub (woody plant branching from the base),2.5,2,30,1000,0.5,0.5,yellow,absent,1,1,30,Acacia oxycedrus,"Murrua Trail, North Turramurra",-33.69307,151.1445,actinomorphic (incl. rotational and spiral)
