species,og_species_patch,genus,family,stripped_name.x,allotb,gbotb,stripped_name.y,dist
Achillea_ambrosiaca,Achillea_ambrosiaca,Achillea,Asteraceae,achillea ambrosiaca,Achillea_asiatica,Achillea_asiatica,achillea asiatica,0.10939112487100111
Actaea_nanchuanensis,Cimicifuga_nanchuanensis,Actaea,Ranunculaceae,actaea nanchuanensis,Actaea_yunnanensis,Actaea_yunnanensis,actaea yunnanensis,0.097930283224401
Agave_macroacantha,Agave_macroacantha,Agave,Asparagaceae,agave macroacantha,Agave_macracantha,NA,agave macracantha,0.01851851851851849
Aiouea_erythropus,Phoebe_erythropus,Aiouea,Lauraceae,aiouea erythropus,Cinnamomum_erythropus,NA,cinnamomum erythropus,0.17889822595704952
Allium_neapolitanum,Allium_neapolitanum,Allium,Amaryllidaceae,allium neapolitanum,Allium_palentinum,NA,allium palentinum,0.10371517027863786
Anchusa_variegata,Anchusa_variegata,Anchusa,Boraginaceae,anchusa variegata,Anchusella_variegata,Anchusella_variegata,anchusella variegata,0.11862745098039218
Arenaria_cretica,Arenaria_cretica,Arenaria,Caryophyllaceae,arenaria cretica,Arenaria_retusa,Arenaria_retusa,arenaria retusa,0.10694444444444451
Aristolochia_inflata,Aristolochia_inflata,Aristolochia,Aristolochiaceae,aristolochia inflata,Aristolochia_flava,NA,aristolochia flava,0.06851851851851865
Asclepias_speciosa,Asclepias_speciosa,Asclepias,Apocynaceae,asclepias speciosa,Ascolepis_speciosa,NA,ascolepis speciosa,0.03703703703703709
Billbergia_distachia,Billbergia_distachia,Billbergia,Bromeliaceae,billbergia distachia,Billbergia_distachya,Billbergia_distachya,billbergia distachya,0.03333333333333344
Blutaparon_vermiculare,Blutaparon_vermiculare,Blutaparon,Amaranthaceae,blutaparon vermiculare,Lepanthes_vermicularis,NA,lepanthes vermicularis,0.2005347593582888
Boronia_ledifolia,Boronia_ledifolia,Boronia,Rutaceae,boronia ledifolia,Lobelia_cordifolia,Lobelia_cordifolia,lobelia cordifolia,0.1087282135076254
Boronia_pinnata,Boronia_pinnata,Boronia,Rutaceae,boronia pinnata,Borya_inopinata,NA,borya inopinata,0.09206349206349207
Byrsonima_intermedia,Byrsonima_intermedia,Byrsonima,Malpighiaceae,byrsonima intermedia,Morinda_intermedia,NA,morinda intermedia,0.097930283224401
Byrsonima_verbascifolia,Byrsonima_verbascifolia,Byrsonima,Malpighiaceae,byrsonima verbascifolia,Byrsonima_parvifolia,NA,byrsonima parvifolia,0.09218154080854324
Calathea_casupito,Calathea_casupito,Calathea,Marantaceae,calathea casupito,Calanthe_conspicua,NA,calanthe conspicua,0.15032679738562083
Cavendishia_crassifolia,Cavendishia_crassifolia,Cavendishia,Ericaceae,cavendishia crassifolia,Cavendishia_grandifolia,Cavendishia_grandifolia,cavendishia grandifolia,0.0869565217391306
Cenostigma_pluviosum_var._sanfranciscanum,Caesalpinia_pluviosa_var_sanfranciscana,Cenostigma,Fabaceae,cenostigma pluviosum,Centrostigma_papillosum,NA,centrostigma papillosum,0.1798711755233494
Cenostigma_pluviosum,Caesalpinia_pluviosa,Cenostigma,Fabaceae,cenostigma pluviosum,Centrostigma_papillosum,NA,centrostigma papillosum,0.1798711755233494
Cenostigma_pyramidale,Caesalpinia_pyramidalis,Cenostigma,Fabaceae,cenostigma pyramidale,Aconitum_pyramidale,NA,aconitum pyramidale,0.11145920356446681
Centaurea_orphanidea,Centaurea_orphanidea_ssp_orphanidea,Centaurea,Asteraceae,centaurea orphanidea,Centaurea_aphrodisea,Centaurea_aphrodisea,centaurea aphrodisea,0.09473684210526323
