og_species,sym_all,sources
Abatia parviflora,actinomorphic,jolyandschoen2021
Abelia grandiflora,actinomorphic,yoderetal2020
Abelia grandifolia,zygomorphic,jolyandschoen2021
Abelia serrata,actinomorphic,yoderetal2020
Abelia sp1 M_PL_054,actinomorphic,yoderetal2020
Abelia triflora,actinomorphic,jolyandschoen2021
Abelmoschus esculentus,actinomorphic,2023TRY_350
Abelmoschus ficulneus,actinomorphic,2023TRY_350
Abelmoschus manihot,actinomorphic,yoderetal2020
Abelmoschus moschatus,actinomorphic,2023TRY_350
Abies pinsapo,zygomorphic,2023TRY_350
Abolboda poarchon,zygomorphic,jolyandschoen2021
Abolboda pulchella,zygomorphic,jolyandschoen2021
Abrophyllum ornans,actinomorphic,jolyandschoen2021
Abrus precatorius,zygomorphic,2023TRY_350
Abrus pulchellus,zygomorphic,2023TRY_350
Abutilon angulatum,actinomorphic,2023TRY_350
Abutilon bedfordianum,actinomorphic,yoderetal2020
Abutilon bidentatum,actinomorphic,2023TRY_350
Abutilon cryptopetalum,actinomorphic,stephens2021
Abutilon depauperatum,actinomorphic,yoderetal2020
Abutilon englerianum,actinomorphic,2023TRY_350
Abutilon fraseri,actinomorphic,stephens2021
Abutilon fruticosum,actinomorphic,2023TRY_350
Abutilon halophilum,actinomorphic,stephens2021
Abutilon hannii,actinomorphic,stephens2021
Abutilon leucopetalum,actinomorphic,stephens2021
Abutilon longicuspe,actinomorphic,2023TRY_350
Abutilon mauritianum,actinomorphic,2023TRY_350
Abutilon otocarpum,actinomorphic,stephens2021
Abutilon oxycarpum,actinomorphic,stephens2021
Abutilon pannosum,actinomorphic,2023TRY_350
Abutilon pycnodon,actinomorphic,2023TRY_350
Abutilon ramosum,actinomorphic,2023TRY_350
Abutilon sonneratianum,actinomorphic,2023TRY_350
Abutilon terminale,actinomorphic,yoderetal2020
Abutilon theophrasti,actinomorphic,yoderetal2020
Acacia acuaria,actinomorphic,stephens2021
Acacia acuminata,actinomorphic,stephens2021
Acacia adoxa,actinomorphic,stephens2021
Acacia alleniana,actinomorphic,stephens2021
Acacia ampliceps,actinomorphic,stephens2021
Acacia anceps,actinomorphic,stephens2021
Acacia ancistrocarpa,actinomorphic,stephens2021
Acacia aneura,actinomorphic,stephens2021
Acacia aptaneura,actinomorphic,stephens2021
Acacia araneosa,actinomorphic,stephens2021
Acacia asperulacea,actinomorphic,stephens2021
Acacia assimilis,actinomorphic,stephens2021
Acacia atkinsiana,actinomorphic,stephens2021
Acacia ayersiana,actinomorphic,stephens2021
Acacia bahiensis,actinomorphic,yoderetal2020
Acacia bancroftiorum,actinomorphic,stephens2021
Acacia beauverdiana,actinomorphic,stephens2021
Acacia bivenosa,actinomorphic,stephens2021
Acacia brachystachya,actinomorphic,stephens2021
Acacia browniana,actinomorphic,stephens2021
Acacia brownii,actinomorphic,stephens2021
Acacia burkittii,actinomorphic,stephens2021
Acacia buxifolia,actinomorphic,stephens2021
Acacia caesaneura,actinomorphic,stephens2021
Acacia calamifolia,actinomorphic,stephens2021
Acacia calligera,actinomorphic,stephens2021
Acacia cambagei,actinomorphic,stephens2021
Acacia carneorum,actinomorphic,stephens2021
Acacia catenulata,actinomorphic,stephens2021
Acacia chamaeleon,actinomorphic,stephens2021
Acacia cheelii,actinomorphic,stephens2021
Acacia chrysocephala,actinomorphic,stephens2021
Acacia citrinoviridis,actinomorphic,stephens2021
Acacia cochlearis,actinomorphic,stephens2021
Acacia colei,actinomorphic,stephens2021
Acacia colletioides,actinomorphic,stephens2021
Acacia consanguinea,actinomorphic,stephens2021
Acacia continua,actinomorphic,stephens2021
Acacia coolgardiensis,actinomorphic,stephens2021
Acacia cowleana,actinomorphic,stephens2021
Acacia crassicarpa,actinomorphic,stephens2021
Acacia cupularis,actinomorphic,stephens2021
Acacia cuthbertsonii,actinomorphic,stephens2021
Acacia cyclops,actinomorphic,stephens2021
Acacia cylindrica,actinomorphic,stephens2021
Acacia dawsonii,actinomorphic,stephens2021
Acacia dealbata,actinomorphic,jolyandschoen2021 stephens2021
Acacia deanei,actinomorphic,stephens2021
Acacia dentifera,actinomorphic,stephens2021
Acacia desertorum,actinomorphic,stephens2021
Acacia dictyophleba,actinomorphic,stephens2021
Acacia didyma,actinomorphic,stephens2021
Acacia difficilis,actinomorphic,stephens2021
Acacia dimidiata,actinomorphic,stephens2021
Acacia duriuscula,actinomorphic,stephens2021
Acacia effusifolia,actinomorphic,stephens2021
Acacia enervia,actinomorphic,stephens2021
Acacia erinacea,actinomorphic,stephens2021
Acacia eriopoda,actinomorphic,stephens2021
Acacia estrophiolata,actinomorphic,stephens2021
Acacia euthycarpa,actinomorphic,stephens2021
Acacia excelsa,actinomorphic,stephens2021
Acacia farnesiana,actinomorphic,jolyandschoen2021
Acacia fimbriata,actinomorphic,jolyandschoen2021
Acacia fragilis,actinomorphic,stephens2021
Acacia fuscaneura,actinomorphic,stephens2021
Acacia galeata,actinomorphic,stephens2021
Acacia galioides,actinomorphic,stephens2021
Acacia georginae,actinomorphic,stephens2021
Acacia gibbosa,actinomorphic,stephens2021
Acacia gonocarpa,actinomorphic,stephens2021
Acacia gonoclada,actinomorphic,stephens2021
Acacia hakeoides,actinomorphic,stephens2021
Acacia hamersleyensis,actinomorphic,stephens2021
Acacia hammondii,actinomorphic,stephens2021
Acacia harpophylla,actinomorphic,stephens2021
Acacia havilandiorum,actinomorphic,stephens2021
Acacia hemignosta,actinomorphic,stephens2021
Acacia hemiteles,actinomorphic,stephens2021
Acacia hemsleyi,actinomorphic,stephens2021
Acacia heteroneura,actinomorphic,stephens2021
Acacia hilliana,actinomorphic,stephens2021
Acacia holosericea,actinomorphic,stephens2021 2023TRY_350
Acacia hopperiana,actinomorphic,stephens2021
Acacia humifusa,actinomorphic,stephens2021
Acacia implexa,actinomorphic,stephens2021
Acacia inaequilatera,actinomorphic,stephens2021
Acacia inaequiloba,actinomorphic,stephens2021
Acacia incurvaneura,actinomorphic,stephens2021
Acacia insulae-iacobi,actinomorphic,yoderetal2020
Acacia iteaphylla,actinomorphic,stephens2021
Acacia ixiophylla,actinomorphic,stephens2021
