model,total_n,zyg_n,act_n,zygmean,actmean,pgls_logLik,pgls_intercept,pgls_symspecies1,pgls_pvalue
allotbspecies,1433,457,976,1.03389990101399,0.7707143576044696,-2296.8525905965994,0.868356685276617,0.31142246667908763,5.274673896773915e-4
gbotbspecies,1187,366,821,1.0867524019376014,0.7975203994778925,-2026.2894254131852,0.8253997674213623,0.387575827535417,3.027950127314764e-4
subsample1,804,240,564,0.9952546844594988,0.7695626574225657,-1224.9924144585366,0.8531292630348247,0.33088233692651164,0.012970394768943837
subsample2,804,239,565,1.0236702533922688,0.7449885439890636,-1227.6042286356956,0.877859290636572,0.3243706116277765,0.013352974899755884
subsample3,804,238,566,1.0259145544702635,0.7557912975628894,-1220.2846617479604,0.8549657748431123,0.3446748179604792,0.008170948418051435
subsample4,804,240,564,1.0171366638788455,0.7360376045514428,-1215.0554692341752,0.8376436117558028,0.3561588722350598,0.007084932492982244
subsample5,804,238,566,1.0023987991900316,0.7472733793420164,-1215.6835760842878,0.8821632700537045,0.2870779768377421,0.026811961196892928
subsample6,804,236,568,1.01249179885032,0.7304686178252214,-1232.884264657332,0.8224725282906429,0.29898668444734056,0.028479095223793667
subsample7,804,238,566,0.9895976537152007,0.7506226470478442,-1212.9569840436766,0.8416286321403338,0.3549331640758571,0.005660180798554952
subsample8,804,235,569,1.0051780568098747,0.7333986491144283,-1223.2792692598314,0.8542965917231718,0.37881391537463577,0.005159538614027966
subsample9,804,234,570,1.0134926274723208,0.7539085969737017,-1230.9264007996944,0.8471599247167567,0.34801352786811024,0.009869827860184822
subsample10,804,233,571,1.0202016317398546,0.7592303846693974,-1226.1465597902456,0.914859164894966,0.34751081063203254,0.009721682537598676
subsample11,804,240,564,1.0091596759598787,0.7562003626382782,-1220.374091406703,0.8462914973732686,0.4112982408381746,0.0016386629871286877
subsample12,804,241,563,1.0319560428117238,0.7439694706491797,-1219.9885954186739,0.8718875363007436,0.36459015700061415,0.00584456660078382
subsample13,804,236,568,1.0206302144560935,0.7369551951038501,-1218.79442736202,0.8336150367622891,0.39065127364665175,0.0027293019293734193
subsample14,804,237,567,1.0143968899895413,0.7440101045148898,-1228.0292908282554,0.8901863124335951,0.3750091883978766,0.00422639854388146
subsample15,804,239,565,1.0173003659235507,0.759470707375454,-1214.118079263123,0.8432353503936074,0.35235511052089824,0.005750695412349918
subsample16,804,239,565,1.000133871341863,0.7469709708265326,-1220.8530969389953,0.8082020933335152,0.3367571159854624,0.010631227396990921
subsample17,804,234,570,1.04022161072923,0.7541928151505926,-1228.975829511773,0.8084036350125122,0.32915540546583183,0.016072608804633636
subsample18,804,233,571,1.0290250697013545,0.7569110888853768,-1233.9068519140142,0.8552242708142488,0.28854283778622514,0.031052373084973862
subsample19,804,235,569,1.0430528289813796,0.7676274022535804,-1230.010355050394,0.8662177455681124,0.31643995271164516,0.017187476033697274
subsample20,804,238,566,1.0178299855611916,0.76122895318497,-1228.248588108429,0.906398550319056,0.21737566188832916,0.09645062657655468
subsample21,804,236,568,1.0007003284268245,0.7430886014619216,-1227.3003899421938,0.8693984949875064,0.2746585150504517,0.04322898665042375
subsample22,804,233,571,1.0350963627591023,0.7505801895614298,-1219.8041536126098,0.8425919632300188,0.3240987707215268,0.015352001580553292
subsample23,804,232,572,1.0155645167790506,0.7399844141199988,-1205.2483192527507,0.8517781964869173,0.3373883562008751,0.01005774206675124
subsample24,804,237,567,1.0021598728099679,0.7479885519085501,-1229.2141681953208,0.8122473967127839,0.37047628917487935,0.006589397811685313
subsample25,804,234,570,1.019994690230587,0.7472639817530176,-1234.0495003700294,0.8844544602134516,0.3293365801488151,0.01499304765210968
subsample26,804,238,566,1.0020236194655676,0.7578592448917303,-1219.48143376408,0.81169461908204,0.2890446503853297,0.027350389358273483
subsample27,804,237,567,1.0011996535397438,0.7686473017392673,-1218.7464902584893,0.8362788043531161,0.3137762897966248,0.01863155308539216
subsample28,804,241,563,1.0081093882066166,0.7553331259568807,-1231.7798430442194,0.8717028585042026,0.3167154736575707,0.017698307863499203
subsample29,804,237,567,1.0096243165001095,0.7504422052648673,-1222.2446068656977,0.8542848216046726,0.25257757538756476,0.05409830263918858
subsample30,804,237,567,1.0101125410579883,0.7526950956908386,-1235.547393283779,0.8796981198711777,0.3024899824189044,0.02012676491123002
subsample31,804,236,568,1.0199564187431662,0.7557397065641488,-1216.1551545225407,0.8940705424817481,0.3867452480132999,0.0032481140103150655
subsample32,804,241,563,1.0154082055813585,0.7595467722484559,-1223.7125735271015,0.8818014365194808,0.33130663469051563,0.011874269105182867
subsample33,804,235,569,1.0477658048365626,0.7514866240666176,-1232.7086297073474,0.8787316949418804,0.36940867541074685,0.0066967250270546395
subsample34,804,235,569,1.0275364217238758,0.7501703119347687,-1241.391630660186,0.8783814068763502,0.37138150118374896,0.006254981035728717
subsample35,804,240,564,1.025601905250479,0.7605884655874181,-1219.7138001438943,0.8515602314634909,0.4295157370318355,9.457482830673907e-4
subsample36,804,239,565,0.9804983088941033,0.7310308657102579,-1222.1739178058128,0.8372313376030456,0.2949153013955886,0.02386867688441271
subsample37,804,235,569,1.0207624831785373,0.7497276990473388,-1218.5659922097389,0.8480420974995377,0.3444659394320453,0.008829209735796166
subsample38,804,237,567,0.9935714408112136,0.7472188323833538,-1227.243305877732,0.8639639265212331,0.3251845129570349,0.013325270299581471
subsample39,804,238,566,1.0203558697813158,0.7595218807693613,-1235.6647520377678,0.869199368751813,0.3429519108259526,0.009720343747295326
subsample40,804,235,569,1.0098488082221686,0.7480218244683667,-1213.7476171242579,0.87179999872897,0.3444317618873769,0.008651399786432208
subsample41,804,241,563,1.0197208784623282,0.7382714589186344,-1224.0893496833846,0.8900505261947043,0.3998539360217996,0.002567284945521234
subsample42,804,236,568,0.9888566886148066,0.7389150555809425,-1220.3025049953549,0.8607115278902986,0.3063269752604388,0.021072064419138874
subsample43,804,235,569,1.0218168375451169,0.7424155520888419,-1232.7055210424019,0.8528691071383206,0.32905817114406954,0.013058248103929759
subsample44,804,237,567,0.983051147508834,0.7327348108753906,-1228.9111579106088,0.8293478860088731,0.30911407809707875,0.020908035589154297
subsample45,804,237,567,1.0044784674464884,0.7573110433598598,-1220.1701678990507,0.8983048849813317,0.3175503351044994,0.014179438203976321
subsample46,804,237,567,0.9965257882400896,0.7609720080565221,-1222.4783661100646,0.825692735346453,0.31172508277233374,0.02059424052530858
subsample47,804,239,565,1.0360330854679765,0.7520251008200907,-1226.4486577187763,0.8720287095709792,0.3756234384692524,0.004166079480111632
subsample48,804,238,566,1.00594764888581,0.74864195281095,-1223.3048956673165,0.8769121572675894,0.36164915789781077,0.006054221507994441
subsample49,804,235,569,1.0051611060270453,0.7467611136684902,-1214.2483940610932,0.8601270936602837,0.3391549983155274,0.008912959600702156
subsample50,804,238,566,1.0121839212024077,0.7458597367462294,-1223.88270515659,0.8581631101617239,0.3234031698249952,0.014056378945249526
